name,value,type,unit,min,max,default,mutability,source,comment
MIX_0_0,0.35,f32,rad,-0.6,0.6,0.35,disarmed,manual,Allocation; surface 0 radians per unit roll moment demand
MIX_0_1,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 0 radians per unit pitch moment demand
MIX_0_2,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 0 radians per unit yaw moment demand
MIX_1_0,0.35,f32,rad,-0.6,0.6,0.35,disarmed,manual,Allocation; surface 1 radians per unit roll moment demand
MIX_1_1,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 1 radians per unit pitch moment demand
MIX_1_2,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 1 radians per unit yaw moment demand
MIX_2_0,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 2 radians per unit roll moment demand
MIX_2_1,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 2 radians per unit pitch moment demand
MIX_2_2,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 2 radians per unit yaw moment demand
MIX_3_0,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 3 radians per unit roll moment demand
MIX_3_1,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 3 radians per unit pitch moment demand
MIX_3_2,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 3 radians per unit yaw moment demand
MIX_4_0,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 4 radians per unit roll moment demand
MIX_4_1,0.35,f32,rad,-0.6,0.6,0.35,disarmed,manual,Allocation; surface 4 radians per unit pitch moment demand
MIX_4_2,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 4 radians per unit yaw moment demand
MIX_5_0,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 5 radians per unit roll moment demand
MIX_5_1,0.105,f32,rad,-0.6,0.6,0.105,disarmed,manual,Allocation; surface 5 radians per unit pitch moment demand
MIX_5_2,0.175,f32,rad,-0.6,0.6,0.175,disarmed,manual,Allocation; surface 5 radians per unit yaw moment demand
MIX_6_0,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 6 radians per unit roll moment demand
MIX_6_1,0.105,f32,rad,-0.6,0.6,0.105,disarmed,manual,Allocation; surface 6 radians per unit pitch moment demand
MIX_6_2,-0.175,f32,rad,-0.6,0.6,-0.175,disarmed,manual,Allocation; surface 6 radians per unit yaw moment demand
MIX_7_0,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 7 radians per unit roll moment demand
MIX_7_1,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 7 radians per unit pitch moment demand
MIX_7_2,0.0,f32,rad,-0.6,0.6,0.0,disarmed,manual,Allocation; surface 7 radians per unit yaw moment demand
RATE_ILIM_P,0.2,f32,rad,0.0,1.0,0.2,disarmed,manual,Roll integrator clamp; the anti-windup is this clamp and nothing subtler
RATE_ILIM_Q,0.2,f32,rad,0.0,1.0,0.2,disarmed,manual,Pitch integrator clamp; the anti-windup is this clamp and nothing subtler
RATE_KI_P,4.19649146730853,f32,1,0.0,5.0,0.05,disarmed,synthesized,Roll-rate loop integral gain; demand per radian of integrated rate error
RATE_KI_Q,5.0,f32,1,0.0,5.0,0.05,disarmed,synthesized,Pitch-rate loop integral gain; demand per radian of integrated rate error
RATE_KP_P,0.3182721015494787,f32,s,0.0,3.0,0.15,disarmed,synthesized,Roll-rate loop proportional gain
RATE_KP_Q,0.6256020270196362,f32,s,0.0,3.0,0.15,disarmed,synthesized,Pitch-rate loop proportional gain
RATE_KP_R,1.859225887385095,f32,s,0.0,8.0,0.1,disarmed,synthesized,Yaw-rate damper gain; there is no yaw integrator because heading is not held
STAB_COORD_GAIN,1.0,f32,1,0.0,1.0,1.0,disarmed,manual,Turn coordination: fraction of the coordinated yaw rate g sin(phi) cos(theta) / V added to the yaw-rate setpoint when the airspeed is valid; 0 is a plain damper
STAB_KP_PITCH,5.456031795160838,f32,1/s,0.0,20.0,2.0,disarmed,synthesized,Pitch attitude loop gain; rad/s of rate setpoint per rad of pitch error
STAB_KP_ROLL,7.037336769254547,f32,1/s,0.0,20.0,2.0,disarmed,synthesized,Roll attitude loop gain; rad/s of rate setpoint per rad of bank error
STAB_MAX_BANK,0.6981317007977318,f32,rad,0.0,1.2,0.6981317007977318,disarmed,manual,Bank angle commanded at full roll stick in STAB; 0.698 rad is 40 degrees
STAB_MAX_PITCH,0.3490658503988659,f32,rad,0.0,0.7,0.3490658503988659,disarmed,manual,Pitch angle commanded at full pitch stick in STAB; 0.349 rad is 20 degrees
STAB_PITCH_TRIM,0.04646306310060523,f32,rad,-0.35,0.35,0.0,disarmed,synthesized,"Pitch attitude commanded with the pitch stick centred in STAB: the trimmed theta, from the trim solve at the canonical condition"
STAB_YAW_RATE,0.5,f32,rad/s,0.0,3.0,0.5,disarmed,manual,Yaw rate commanded at full yaw stick in STAB; between sticks the damper holds the coordinated turn rate (STAB_COORD_GAIN) or zero
